protocol_id	x	facs	github	NROWS	NCOLS	row_to_check	content	tricky	most_probable_line	lev
data/1900/prot-1900--ak--023.xml	5	https://betalab.kb.se/prot-1900--ak--23/prot_1900__ak__23-005.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1900/prot-1900--ak--23.xml#L366	47	1	2	Sant vore deremot, tt det obegagnade gevärets mekanism-		sant vore deremot, att det obegagnade gevärets mekanism	2
data/1900/prot-1900--ak--023.xml	5	https://betalab.kb.se/prot-1900--ak--23/prot_1900__ak__23-005.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1900/prot-1900--ak--23.xml#L366	47	1	9	från chefen för Stockholms vapenfabrik och verkmästaren vid Stock-		från chefen för stockholms vapenfabrik och verkmästaren vid stockh	1
data/1900/prot-1900--ak--023.xml	5	https://betalab.kb.se/prot-1900--ak--23/prot_1900__ak__23-005.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1900/prot-1900--ak--23.xml#L366	47	1	34	fabriker, komma upp till en medelaflöning, som sträcker sig längre		fabriker, komma upp till en medelaflöning, som sträcker sig längre	0
data/1900/prot-1900--ak--055.xml	19	https://betalab.kb.se/prot-1900--ak--55/prot_1900__ak__55-019.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1900/prot-1900--ak--55.xml#L1593	45	1	2	Jag för min del yrkar bifall till det af herr Elowson fram-		jag för min del yrkar bifall till det af herr elowson fram-	0
data/1900/prot-1900--ak--055.xml	19	https://betalab.kb.se/prot-1900--ak--55/prot_1900__ak__55-019.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1900/prot-1900--ak--55.xml#L1593	45	1	10	förstånd som ypat sig.		förstånd, som yppat si	4
data/1900/prot-1900--ak--055.xml	19	https://betalab.kb.se/prot-1900--ak--55/prot_1900__ak__55-019.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1900/prot-1900--ak--55.xml#L1593	45	1	31	proposition.		 maj:ts proposition.	8
data/1901/prot-1901--ak--006.xml	40	https://betalab.kb.se/prot-1901--ak--6/prot_1901__ak__6-040.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1901/prot-1901--ak--6.xml#L3455	47	1	7	detta fall tjenstgöra de såsom biträden åt kronobetjeningen, läns-		detta fall tjenstgöra de såsom biträden åt kronobetjeningen, länsm	1
data/1901/prot-1901--ak--006.xml	40	https://betalab.kb.se/prot-1901--ak--6/prot_1901__ak__6-040.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1901/prot-1901--ak--6.xml#L3455	47	1	14	genom införandet af en liten ersättning åt nämndemän godt kunna		genom införandet af en liten ersättning åt nämndemän godt kunna	0
data/1901/prot-1901--ak--006.xml	40	https://betalab.kb.se/prot-1901--ak--6/prot_1901__ak__6-040.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1901/prot-1901--ak--6.xml#L3455	47	1	26	Det är derför som jag I rättvisans och billighetens intresse anser		det är derför som jag i rättvisans och billighetens intresse anser	0
data/1901/prot-1901--fk--023.xml	20	https://betalab.kb.se/prot-1901--fk--23/prot_1901__fk__23-020.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1901/prot-1901--fk--23.xml#L1631	50	1	5	penningarnes afstående en väsentlig förmån kan beredas riksdags-		penningarnes afstående en väsentlig förmån kan beredas riksdagsm	1
data/1901/prot-1901--fk--023.xml	20	https://betalab.kb.se/prot-1901--fk--23/prot_1901__fk__23-020.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1901/prot-1901--fk--23.xml#L1631	50	1	22	af vare sig den ena eller den andra af  representationens afdel-		af vare sig den ena eller den andra af representationens afdeln	1
data/1901/prot-1901--fk--023.xml	20	https://betalab.kb.se/prot-1901--fk--23/prot_1901__fk__23-020.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1901/prot-1901--fk--23.xml#L1631	50	1	48	af fria resor, under det att den förste talaren gjort gällande, att		af fria resor, under det att den förste talaren gjort gällande, att	0
data/1901/prot-1901--fk--036.xml	4	https://betalab.kb.se/prot-1901--fk--36/prot_1901__fk__36-004.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1901/prot-1901--fk--36.xml#L316	41	1	19	öfverrumpling, hyste jag den öfvertygelsen att, så blottad på allt		öfverrumpling, hyste jag den öfvertygelsen, att, så blottad på all	2
data/1901/prot-1901--fk--036.xml	4	https://betalab.kb.se/prot-1901--fk--36/prot_1901__fk__36-004.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1901/prot-1901--fk--36.xml#L316	41	1	23	omsorger; och det lättvindiga sätt, hvarpå utskottet behandlat denna		omsorger; och det lättvindiga sätt, hvarpå utskottet behandlat denna	0
data/1901/prot-1901--fk--036.xml	4	https://betalab.kb.se/prot-1901--fk--36/prot_1901__fk__36-004.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1901/prot-1901--fk--36.xml#L316	41	1	40	Och till och med nu, sedan en vänlig, men mycket vetgirig magt		och till och med nu, sedan en vänlig, men mycket vetgirig magt	0
data/1902/prot-1902--ak--051.xml	61	https://betalab.kb.se/prot-1902--ak--51/prot_1902__ak__51-061.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1902/prot-1902--ak--51.xml#L5099	51	1	5	nade med uppmärksamhet. Men bäst kunda jag följa honom, då han		nade med uppmärksamhet. men bäst kunde jag följa honom, då han	1
data/1902/prot-1902--ak--051.xml	61	https://betalab.kb.se/prot-1902--ak--51/prot_1902__ak__51-061.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1902/prot-1902--ak--51.xml#L5099	51	1	25	stockholmstidning, och jag tror, att han icke är känd för att vara		stockholmstidning, och jag tror, att han icke är känd för att vara	0
data/1902/prot-1902--ak--051.xml	61	https://betalab.kb.se/prot-1902--ak--51/prot_1902__ak__51-061.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1902/prot-1902--ak--51.xml#L5099	51	1	30	de äro fria medborgare och att de icke hållas för farlig samhällsdrägg.		de äro fria medborgare och att de icke hållas för farlig samhällsdrägg.	0
data/1903/prot-1903--ak--024.xml	37	https://betalab.kb.se/prot-1903--ak--24/prot_1903__ak__24-037.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1903/prot-1903--ak--24.xml#L3293	50	1	22	jag är i staden eller kommer till något bankkontor på landet, får jag		jag är i staden eller kommer till något bankkontor på landet, får jag	0
data/1903/prot-1903--ak--024.xml	37	https://betalab.kb.se/prot-1903--ak--24/prot_1903__ak__24-037.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1903/prot-1903--ak--24.xml#L3293	50	1	46	staten söker taga reda på någon betalning för de tjänster, den gör		staten söker taga reda på någon betalning för de tjänster, den gör	0
data/1903/prot-1903--ak--024.xml	37	https://betalab.kb.se/prot-1903--ak--24/prot_1903__ak__24-037.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1903/prot-1903--ak--24.xml#L3293	50	1	48	loppet såsom i det exempel jag nyss anförde, sändes i postremissväxel.		loppet, såsom i det exempel jag nyss anförde, sändes i postremissväxel	2
data/1904/prot-1904--ak--031.xml	27	https://betalab.kb.se/prot-1904--ak--31/prot_1904__ak__31-027.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--ak--31.xml#L2043	48	1	2	och det gick fjolårets Riksdag in på. JAg kan icke finna, att		och det gick fjolårets riksdag in på. jag kan icke finna, att	0
data/1904/prot-1904--ak--031.xml	27	https://betalab.kb.se/prot-1904--ak--31/prot_1904__ak__31-027.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--ak--31.xml#L2043	48	1	28	att man med godt samvete kan yrka afslag å en sådan orga-		att man med godt samvete kan yrka afslag å en sådan organ	1
data/1904/prot-1904--ak--031.xml	27	https://betalab.kb.se/prot-1904--ak--31/prot_1904__ak__31-027.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--ak--31.xml#L2043	48	1	37	endast åstadkommer rättvisa, och detta för det längre? Ty de högre,		m endast åstadkommer rättvisa, och detta för de lägre? ty de högre,	4
data/1904/prot-1904--fk--021.xml	7	https://betalab.kb.se/prot-1904--fk--21/prot_1904__fk__21-007.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--fk--21.xml#L600	50	1	8	utvidgades genom att de få i vissa fall förrätta tjänstemannaåligganden		utvidgades genom att de få i vissa fall förrätta tjänstemannaåligganden	0
data/1904/prot-1904--fk--021.xml	7	https://betalab.kb.se/prot-1904--fk--21/prot_1904__fk__21-007.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--fk--21.xml#L600	50	1	12	ett förslaganslag af 50 000 kronor, som till ett belopp af högst 120		ett förslagsanslag af 50,000 kronor, som till ett belopp af högst 12	3
data/1904/prot-1904--fk--021.xml	7	https://betalab.kb.se/prot-1904--fk--21/prot_1904__fk__21-007.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--fk--21.xml#L600	50	1	43	har denna uppbördsprovision icke upphört genom löneregleringen,		har denna uppbördsprovision icke upphört genom löneregleringen,	0
data/1904/prot-1904--fk--022.xml	28	https://betalab.kb.se/prot-1904--fk--22/prot_1904__fk__22-028.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--fk--22.xml#L2062	38	1	1	Lördagen den 27 Februari. 29 N:o 22.		lördagen den 27 februari. 29 n:o 22.	0
data/1904/prot-1904--fk--022.xml	28	https://betalab.kb.se/prot-1904--fk--22/prot_1904__fk__22-028.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--fk--22.xml#L2062	38	1	2	afgäld kan i någon mån, verka därhän, att hypoteksbankens och		afgäld kan i någon mån, verka därhän, att hypoteksbankens och	0
data/1904/prot-1904--fk--022.xml	28	https://betalab.kb.se/prot-1904--fk--22/prot_1904__fk__22-028.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1904/prot-1904--fk--22.xml#L2062	38	1	29	samt vidare på afslaf därå, och förklarade sig finna den förra pro-		samt vidare på afslag därå, och förklarade sig finna den förra prop	2
data/1906/prot-1906--ak--017.xml	4	https://betalab.kb.se/prot-1906--ak--17/prot_1906__ak__17-004.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1906/prot-1906--ak--17.xml#L348	48	1	26	narie. Den af mig nyss åberopade tabellen upptager i sin tredje		narie. den af mig nyss åberopade tabellen upptager i sin tredje	0
data/1906/prot-1906--ak--017.xml	4	https://betalab.kb.se/prot-1906--ak--17/prot_1906__ak__17-004.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1906/prot-1906--ak--17.xml#L348	48	1	40	Det har sagts att postbetjäntkåren förklarat sig nöjd med det.		det har sagts, att postbetjäntkåren förklarat sig nöjd med det	2
data/1906/prot-1906--ak--017.xml	4	https://betalab.kb.se/prot-1906--ak--17/prot_1906__ak__17-004.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1906/prot-1906--ak--17.xml#L348	48	1	47	got annat statens verk.		got annat statens verk.	0
data/1906/prot-1906--ak--053.xml	72	https://betalab.kb.se/prot-1906--ak--53/prot_1906__ak__53-072.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1906/prot-1906--ak--53.xml#L5515	48	1	18	stadsfullmäktige skulle komma att lämna ett dylikt medgifvande		stadsfullmäktige skulle komma att lämna ett dylikt medgifvande	0
data/1906/prot-1906--ak--053.xml	72	https://betalab.kb.se/prot-1906--ak--53/prot_1906__ak__53-072.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1906/prot-1906--ak--53.xml#L5515	48	1	23	komma för ett helt annat ändamål än framdragande af telefon-		komna för ett helt annat ändamål än framdragande af telefonl	2
data/1906/prot-1906--ak--053.xml	72	https://betalab.kb.se/prot-1906--ak--53/prot_1906__ak__53-072.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1906/prot-1906--ak--53.xml#L5515	48	1	30	förslaget, vill jag säga, att jag som stockholmare naturligtvis hör		förslaget, vill jag säga, att jag som stockholmare naturligtvis hör	0
data/1906/prot-1906--fk--011.xml	6	https://betalab.kb.se/prot-1906--fk--11/prot_1906__fk__11-006.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1906/prot-1906--fk--11.xml#L423	48	1	2	Herr Andersson, Gustaf: En motion i samma ämne som		herr andersson, gustaf:	27
